"BU_DESC__c","BU_ID__c","Code_Indexing__c","COUNTRY_ID__c","COUNTRY__c","GM_DESC__c","GM_ID__c","Id","MARKET_DESC__c","MARKET_ID__c","Name","OwnerId","Product_Id__c","Product_Name__c","RHMS_Vertical_Id__c","SBU1_DESC__c","SBU1_ID__c","SBU2_DESC__c","SBU2_ID__c","STATE_ID__c","SUBVERTICAL_DESC__c","SUBVERTICAL_ID__c","VERTICAL_DESC__c","VERTICAL_ID__c"
"","","NLD||AH","NLD","Netherlands","","","a0h0q000004KjOGAA0","","","Arnhem","0050q0000036HRvAAM","","","","","","","","AH","","","",""
"","","CHE||AI","CHE","Switzerland","","","a0h0q000004KjOHAA0","","","Appenzell Inner-Rhodes","0050q0000036HRvAAM","","","","","","","","AI","","","",""
"","","ESP||AI","ESP","Spain","","","a0h0q000004KjOIAA0","","","Alicante","0050q0000036HRvAAM","","","","","","","","AI","","","",""
"","","FRA||AI","FRA","France","","","a0h0q000004KjOJAA0","","","Ain","0050q0000036HRvAAM","","","","","","","","AI","","","",""
"","","JPN||AI","JPN","Japan","","","a0h0q000004KjOKAA0","","","Aichi-Ken","0050q0000036HRvAAM","","","","","","","","AI","","","",""
"","","NLD||AI","NLD","Netherlands","","","a0h0q000004KjOLAA0","","","Albrandswaard","0050q0000036HRvAAM","","","","","","","","AI","","","",""
"","","TUR||AI","TUR","Turkey","","","a0h0q000004KjOMAA0","","","Adiyaman","0050q0000036HRvAAM","","","","","","","","AI","","","",""
"","","ARE||AJ","ARE","United Arab Emirates","","","a0h0q000004KjONAA0","","","Ajman","0050q0000036HRvAAM","","","","","","","","AJ","","","",""
"","","NLD||AJ","NLD","Netherlands","","","a0h0q000004KjOOAA0","","","Andijk","0050q0000036HRvAAM","","","","","","","","AJ","","","",""
"","","JPN||AK","JPN","Japan","","","a0h0q000004KjOPAA0","","","Akita-Ken","0050q0000036HRvAAM","","","","","","","","AK","","","",""
"","","KAZ||AK","KAZ","Kazakhstan","","","a0h0q000004KjOQAA0","","","AqtÃ¶be","0050q0000036HRvAAM","","","","","","","","AK","","","",""
"","","NGA||AK","NGA","Nigeria","","","a0h0q000004KjORAA0","","","Akwa Ibom","0050q0000036HRvAAM","","","","","","","","AK","","","",""
"","","NOR||AK","NOR","Norway","","","a0h0q000004KjOSAA0","","","Akershus","0050q0000036HRvAAM","","","","","","","","AK","","","",""
"","","PAK||AK","PAK","Pakistan","","","a0h0q000004KjOTAA0","","","Azad Kashmir(Pak administered)","0050q0000036HRvAAM","","","","","","","","AK","","","",""
"","","PHL||AK","PHL","Philippines","","","a0h0q000004KjOUAA0","","","Aklan","0050q0000036HRvAAM","","","","","","","","AK","","","",""
"","","TUR||AK","TUR","Turkey","","","a0h0q000004KjOVAA0","","","Aksaray","0050q0000036HRvAAM","","","","","","","","AK","","","",""
"","","USA||AK","USA","United States","","","a0h0q000004KjOWAA0","","","Alaska","0050q0000036HRvAAM","","","","","","","","AK","","","",""
"","","BRA||AL","BRA","Brazil","","","a0h0q000004KjOXAA0","","","Alagoas","0050q0000036HRvAAM","","","","","","","","AL","","","",""
"","","CRI||AL","CRI","Costa Rica","","","a0h0q000004KjOYAA0","","","Alajuela","0050q0000036HRvAAM","","","","","","","","AL","","","",""
"","","DZA||AL","DZA","Algeria","","","a0h0q000004KjOZAA0","","","Alger","0050q0000036HRvAAM","","","","","","","","AL","","","",""
"","","EGY||AL","EGY","Egypt","","","a0h0q000004KjOaAAK","","","Alexandria","0050q0000036HRvAAM","","","","","","","","AL","","","",""
"","","ESP||AL","ESP","Spain","","","a0h0q000004KjObAAK","","","Alava","0050q0000036HRvAAM","","","","","","","","AL","","","",""
"","","FIN||AL","FIN","Finland","","","a0h0q000004KjOcAAK","","","Ã…land","0050q0000036HRvAAM","","","","","","","","AL","","","",""
"","","FRA||AL","FRA","France","","","a0h0q000004KjOdAAK","","","Allier","0050q0000036HRvAAM","","","","","","","","AL","","","",""
"","","ITA||AL","ITA","Italy","","","a0h0q000004KjOeAAK","","","Alessandria","0050q0000036HRvAAM","","","","","","","","AL","","","",""
"","","KAZ||AL","KAZ","Kazakhstan","","","a0h0q000004KjOfAAK","","","Almaty","0050q0000036HRvAAM","","","","","","","","AL","","","",""
"","","NLD||AL","NLD","Netherlands","","","a0h0q000004KjOgAAK","","","Aalsmeer","0050q0000036HRvAAM","","","","","","","","AL","","","",""
"","","PHL||AL","PHL","Philippines","","","a0h0q000004KjOhAAK","","","Albay","0050q0000036HRvAAM","","","","","","","","AL","","","",""
"","","RUS||AL","RUS","Russian Federation","","","a0h0q000004KjOiAAK","","","Altai Territory","0050q0000036HRvAAM","","","","","","","","AL","","","",""
"","","USA||AL","USA","United States","","","a0h0q000004KjOjAAK","","","Alabama","0050q0000036HRvAAM","","","","","","","","AL","","","",""
"","","BRA||AM","BRA","Brazil","","","a0h0q000004KjOkAAK","","","Amazonas","0050q0000036HRvAAM","","","","","","","","AM","","","",""
"","","COL||AM","COL","Colombia","","","a0h0q000004KjOlAAK","","","Amazonas","0050q0000036HRvAAM","","","","","","","","AM","","","",""
"","","ESP||AM","ESP","Spain","","","a0h0q000004KjOmAAK","","","Almeria","0050q0000036HRvAAM","","","","","","","","AM","","","",""
"","","GBR||AM","GBR","United Kingdom","","","a0h0q000004KjOnAAK","","","Armagh","0050q0000036HRvAAM","","","","","","","","AM","","","",""
"","","JOR||AM","JOR","Jordan","","","a0h0q000004KjOoAAK","","","Amman","0050q0000036HRvAAM","","","","","","","","AM","","","",""
"","","KAZ||AM","KAZ","Kazakhstan","","","a0h0q000004KjOpAAK","","","Astana","0050q0000036HRvAAM","","","","","","","","AM","","","",""
"","","NLD||AM","NLD","Netherlands","","","a0h0q000004KjOqAAK","","","Amsterdam","0050q0000036HRvAAM","","","","","","","","AM","","","",""
"","","RUS||AM","RUS","Russian Federation","","","a0h0q000004KjOrAAK","","","Amur Region","0050q0000036HRvAAM","","","","","","","","AM","","","",""
"","","SAU||AM","SAU","Saudi Arabia","","","a0h0q000004KjOsAAK","","","Al Madinah","0050q0000036HRvAAM","","","","","","","","AM","","","",""
"","","TUR||AM","TUR","Turkey","","","a0h0q000004KjOtAAK","","","Amasya","0050q0000036HRvAAM","","","","","","","","AM","","","",""
"","","ATG||AN","ATG","Antigua and Barbuda","","","a0h0q000004KjOuAAK","","","Antigua","0050q0000036HRvAAM","","","","","","","","AN","","","",""
"","","BEL||AN","BEL","Belgium","","","a0h0q000004KjOvAAK","","","Antwerpen","0050q0000036HRvAAM","","","","","","","","AN","","","",""
"","","CHL||AN","CHL","Chile","","","a0h0q000004KjOwAAK","","","Antofagasta","0050q0000036HRvAAM","","","","","","","","AN","","","",""
"","","CHN||AN","CHN","China","","","a0h0q000004KjOxAAK","","","Anhui","0050q0000036HRvAAM","","","","","","","","AN","","","",""
"","","COL||AN","COL","Colombia","","","a0h0q000004KjOyAAK","","","Antioquia","0050q0000036HRvAAM","","","","","","","","AN","","","",""
"","","DZA||AN","DZA","Algeria","","","a0h0q000004KjOzAAK","","","Annaba","0050q0000036HRvAAM","","","","","","","","AN","","","",""
"","","ESP||AN","ESP","Spain","","","a0h0q000004KjP0AAK","","","Andalusia","0050q0000036HRvAAM","","","","","","","","AN","","","",""
"","","FRA||AN","FRA","France","","","a0h0q000004KjP1AAK","","","Auvergne","0050q0000036HRvAAM","","","","","","","","AN","","","",""
"","","GBR||AN","GBR","United Kingdom","","","a0h0q000004KjP2AAK","","","Angus","0050q0000036HRvAAM","","","","","","","","AN","","","",""
"","","IND||AN","IND","India","","","a0h0q000004KjP3AAK","","","Andaman and Nicobar Islands","0050q0000036HRvAAM","","","","","","","","AN","","","",""
"","","IRL||AN","IRL","Ireland","","","a0h0q000004KjP4AAK","","","Antrim","0050q0000036HRvAAM","","","","","","","","AN","","","",""
"","","ITA||AN","ITA","Italy","","","a0h0q000004KjP5AAK","","","Ancona","0050q0000036HRvAAM","","","","","","","","AN","","","",""
"","","NGA||AN","NGA","Nigeria","","","a0h0q000004KjP6AAK","","","Anambra","0050q0000036HRvAAM","","","","","","","","AN","","","",""
"","","NLD||AN","NLD","Netherlands","","","a0h0q000004KjP7AAK","","","Alkemade","0050q0000036HRvAAM","","","","","","","","AN","","","",""
"","","PER||AN","PER","Peru","","","a0h0q000004KjP8AAK","","","Ancash","0050q0000036HRvAAM","","","","","","","","AN","","","",""
