BU_DESC__c,BU_ID__c,Code_Indexing__c,COUNTRY_ID__c,COUNTRY__c,GM_DESC__c,GM_ID__c,MARKET_DESC__c,MARKET_ID__c,Name,Product_Id__c,Product_Name__c,RHMS_Vertical_Id__c,SBU1_DESC__c,SBU1_ID__c,SBU2_DESC__c,SBU2_ID__c,STATE_ID__c,SUBVERTICAL_DESC__c,SUBVERTICAL_ID__c,VERTICAL_DESC__c,VERTICAL_ID__c
,,NOR||OT,NOR,Norway,,,,,Others,,,,,,,,OT,,,,
,,NPL||OT,NPL,Nepal,,,,,Others,,,,,,,,OT,,,,
,,NRU||OT,NRU,Nauru,,,,,Others,,,,,,,,OT,,,,
,,NZL||OT,NZL,New Zealand,,,,,Others,,,,,,,,OT,,,,
,,OMN||OT,OMN,Oman,,,,,Others,,,,,,,,OT,,,,
,,PAK||OT,PAK,Pakistan,,,,,Others,,,,,,,,OT,,,,
,,PAN||OT,PAN,Panama,,,,,Others,,,,,,,,OT,,,,
,,PCN||OT,PCN,Pitcairn,,,,,Others,,,,,,,,OT,,,,
,,PER||OT,PER,Peru,,,,,Others,,,,,,,,OT,,,,
,,PHL||OT,PHL,Philippines,,,,,Others,,,,,,,,OT,,,,
,,PLW||OT,PLW,Palau,,,,,Others,,,,,,,,OT,,,,
,,PNG||OT,PNG,Papua New Guinea,,,,,Others,,,,,,,,OT,,,,
,,POL||OT,POL,Poland,,,,,Others,,,,,,,,OT,,,,
,,PRI||OT,PRI,Puerto Rico,,,,,Others,,,,,,,,OT,,,,
,,PRK||OT,PRK,"Korea, Democratic People's Rep",,,,,Others,,,,,,,,OT,,,,
,,PRT||OT,PRT,Portugal,,,,,Others,,,,,,,,OT,,,,
,,PRY||OT,PRY,Paraguay,,,,,Others,,,,,,,,OT,,,,
,,PSE||OT,PSE,"Palestinian Territory, Occupie",,,,,Others,,,,,,,,OT,,,,
,,PYF||OT,PYF,French Polynesia,,,,,Others,,,,,,,,OT,,,,
,,QAT||OT,QAT,Qatar,,,,,Others,,,,,,,,OT,,,,
,,REU||OT,REU,Reunion,,,,,Others,,,,,,,,OT,,,,
,,ROU||OT,ROU,Romania,,,,,Others,,,,,,,,OT,,,,
,,RUS||OT,RUS,Russian Federation,,,,,Others,,,,,,,,OT,,,,
,,RWA||OT,RWA,Rwanda,,,,,Others,,,,,,,,OT,,,,
,,SAU||OT,SAU,Saudi Arabia,,,,,Others,,,,,,,,OT,,,,
,,SDN||OT,SDN,Sudan,,,,,Others,,,,,,,,OT,,,,
,,SEN||OT,SEN,Senegal,,,,,Others,,,,,,,,OT,,,,
,,SGP||OT,SGP,Singapore,,,,,Others,,,,,,,,OT,,,,
,,SGS||OT,SGS,Sth Georgia & Sth Sandwich Is,,,,,Others,,,,,,,,OT,,,,
,,SHN||OT,SHN,Saint Helena,,,,,Others,,,,,,,,OT,,,,
,,SJM||OT,SJM,Svalbard and Jan Mayen,,,,,Others,,,,,,,,OT,,,,
,,SLB||OT,SLB,Solomon Islands,,,,,Others,,,,,,,,OT,,,,
,,SLE||OT,SLE,Sierra Leone,,,,,Others,,,,,,,,OT,,,,
,,SLV||OT,SLV,El Salvador,,,,,Others,,,,,,,,OT,,,,
,,SMR||OT,SMR,San Marino,,,,,Others,,,,,,,,OT,,,,
,,SOM||OT,SOM,Somalia,,,,,Others,,,,,,,,OT,,,,
,,SPM||OT,SPM,Saint Pierre and Miquelon,,,,,Others,,,,,,,,OT,,,,
,,SRB||OT,SRB,Republic of Serbia,,,,,Others,,,,,,,,OT,,,,
,,STP||OT,STP,Sao Tome and Principe,,,,,Others,,,,,,,,OT,,,,
,,SUR||OT,SUR,Suriname,,,,,Others,,,,,,,,OT,,,,
,,SVK||OT,SVK,Slovakia,,,,,Others,,,,,,,,OT,,,,
,,SVN||OT,SVN,Slovenia,,,,,Others,,,,,,,,OT,,,,
,,SWE||OT,SWE,Sweden,,,,,Others,,,,,,,,OT,,,,
,,SWZ||OT,SWZ,Swaziland,,,,,Others,,,,,,,,OT,,,,
,,SYC||OT,SYC,Seychelles,,,,,Others,,,,,,,,OT,,,,
,,SYR||OT,SYR,Syrian Arab Republic,,,,,Others,,,,,,,,OT,,,,
,,TCA||OT,TCA,Turks and Caicos Islands,,,,,Others,,,,,,,,OT,,,,
,,TCD||OT,TCD,Chad,,,,,Others,,,,,,,,OT,,,,
,,TGO||OT,TGO,Togo,,,,,Others,,,,,,,,OT,,,,
,,THA||OT,THA,Thailand,,,,,Others,,,,,,,,OT,,,,
,,TJK||OT,TJK,Tajikistan,,,,,Others,,,,,,,,OT,,,,
,,TKL||OT,TKL,Tokelau,,,,,Others,,,,,,,,OT,,,,
,,TKM||OT,TKM,Turkmenistan,,,,,Others,,,,,,,,OT,,,,
,,TLS||OT,TLS,East Timor,,,,,Others,,,,,,,,OT,,,,
,,TON||OT,TON,Tonga,,,,,Others,,,,,,,,OT,,,,
,,TTO||OT,TTO,Trinidad and Tobago,,,,,Others,,,,,,,,OT,,,,
,,TUN||OT,TUN,Tunisia,,,,,Others,,,,,,,,OT,,,,
,,TUR||OT,TUR,Turkey,,,,,Others,,,,,,,,OT,,,,
,,TUV||OT,TUV,Tuvalu,,,,,Others,,,,,,,,OT,,,,
,,TWN||OT,TWN,Taiwan,,,,,Others,,,,,,,,OT,,,,
,,TZA||OT,TZA,"Tanzania, United Republic of",,,,,Others,,,,,,,,OT,,,,
,,UGA||OT,UGA,Uganda,,,,,Others,,,,,,,,OT,,,,
,,UKR||OT,UKR,Ukraine,,,,,Others,,,,,,,,OT,,,,
,,UMI||OT,UMI,US Minor Outlying Islands,,,,,Others,,,,,,,,OT,,,,
,,URY||OT,URY,Uruguay,,,,,Others,,,,,,,,OT,,,,
,,USA||OT,USA,United States,,,,,Others,,,,,,,,OT,,,,
,,UZB||OT,UZB,Uzbekistan,,,,,Others,,,,,,,,OT,,,,
,,VAT||OT,VAT,Holy See (Vatican City State),,,,,Others,,,,,,,,OT,,,,
,,VCT||OT,VCT,St Vincent and the Grenadines,,,,,Others,,,,,,,,OT,,,,
,,VEN||OT,VEN,Venezuela,,,,,Others,,,,,,,,OT,,,,
,,VGB||OT,VGB,Virgin Islands (British),,,,,Others,,,,,,,,OT,,,,
,,VIR||OT,VIR,Virgin Islands (U.S.),,,,,Others,,,,,,,,OT,,,,
,,VNM||OT,VNM,Viet Nam,,,,,Others,,,,,,,,OT,,,,
,,VUT||OT,VUT,Vanuatu,,,,,Others,,,,,,,,OT,,,,
,,WLF||OT,WLF,Wallis and Futuna Islands,,,,,Others,,,,,,,,OT,,,,
,,WSM||OT,WSM,Samoa,,,,,Others,,,,,,,,OT,,,,
,,YEM||OT,YEM,Yemen,,,,,Others,,,,,,,,OT,,,,
,,YUG||OT,YUG,Yugoslavia,,,,,Others,,,,,,,,OT,,,,
,,ZAF||OT,ZAF,South Africa,,,,,Others,,,,,,,,OT,,,,
,,ZMB||OT,ZMB,Zambia,,,,,Others,,,,,,,,OT,,,,
,,ZWE||OT,ZWE,Zimbabwe,,,,,Others,,,,,,,,OT,,,,
,,FIN||OU,FIN,Finland,,,,,Oulu,,,,,,,,OU,,,,
,,HTI||OU,HTI,Haiti,,,,,West,,,,,,,,OU,,,,
,,NLD||OU,NLD,Netherlands,,,,,Opsterland,,,,,,,,OU,,,,
,,BEL||OV,BEL,Belgium,,,,,Oost Vlaanderen,,,,,,,,OV,,,,
,,NLD||OV,NLD,Netherlands,,,,,Oss,,,,,,,,OV,,,,
,,CHE||OW,CHE,Switzerland,,,,,Obwalden,,,,,,,,OW,,,,
,,NLD||OW,NLD,Netherlands,,,,,Ossendrecht,,,,,,,,OW,,,,
,,GBR||OX,GBR,United Kingdom,,,,,Oxfordshire,,,,,,,,OX,,,,
,,NLD||OX,NLD,Netherlands,,,,,Oud En Nieuw Gastel,,,,,,,,OX,,,,
,,NGA||OY,NGA,Nigeria,,,,,Oyo,,,,,,,,OY,,,,
,,NLD||OY,NLD,Netherlands,,,,,Oud-Beijerland,,,,,,,,OY,,,,
,,NLD||OZ,NLD,Netherlands,,,,,Oudenbosch,,,,,,,,OZ,,,,
,,BOL||PA,BOL,Bolivia,,,,,Pando,,,,,,,,PA,,,,
,,BRA||PA,BRA,Brazil,,,,,Para,,,,,,,,PA,,,,
,,CZE||PA,CZE,Czech Republic,,,,,Pardubicky kraj,,,,,,,,PA,,,,
,,ESP||PA,ESP,Spain,,,,,Palencia,,,,,,,,PA,,,,
,,EST||PA,EST,Estonia,,,,,PÃ¤rnu,,,,,,,,PA,,,,
,,FRA||PA,FRA,France,,,,,Paris,,,,,,,,PA,,,,
,,ITA||PA,ITA,Italy,,,,,Palermo,,,,,,,,PA,,,,
,,KAZ||PA,KAZ,Kazakhstan,,,,,Pavlodar,,,,,,,,PA,,,,
,,NLD||PA,NLD,Netherlands,,,,,Papendrecht,,,,,,,,PA,,,,
,,PAN||PA,PAN,Panama,,,,,PanamÃ¡,,,,,,,,PA,,,,
,,PHL||PA,PHL,Philippines,,,,,Palawan,,,,,,,,PA,,,,
,,THA||PA,THA,Thailand,,,,,Phra Nakhon Si Ayutthaya,,,,,,,,PA,,,,
,,USA||PA,USA,United States,,,,,Pennsylvania,,,,,,,,PA,,,,
,,BRA||PB,BRA,Brazil,,,,,Paraiba,,,,,,,,PB,,,,
,,IND||PB,IND,India,,,,,Punjab,,,,,,,,PB,,,,
,,NLD||PB,NLD,Netherlands,,,,,Peize,,,,,,,,PB,,,,
,,PRK||PB,PRK,"Korea, Democratic People's Rep",,,,,Pyongan-bukto,,,,,,,,PB,,,,
,,THA||PB,THA,Thailand,,,,,Prachin Buri,,,,,,,,PB,,,,
,,ITA||PC,ITA,Italy,,,,,Piacenza,,,,,,,,PC,,,,
,,NLD||PC,NLD,Netherlands,,,,,Pekela,,,,,,,,PC,,,,
,,THA||PC,THA,Thailand,,,,,Phayao,,,,,,,,PC,,,,
,,ITA||PD,ITA,Italy,,,,,Padova,,,,,,,,PD,,,,
,,NLD||PD,NLD,Netherlands,,,,,Pijnacker,,,,,,,,PD,,,,
,,THA||PD,THA,Thailand,,,,,Phetchaburi,,,,,,,,PD,,,,
,,BRA||PE,BRA,Brazil,,,,,Pernambuco,,,,,,,,PE,,,,
,,CAN||PE,CAN,Canada,,,,,Prince Edward Island,,,,,,,,PE,,,,
,,FRA||PE,FRA,France,,,,,Pyrenees Atlantiques,,,,,,,,PE,,,,
,,GBR||PE,GBR,United Kingdom,,,,,Perth and Kinross,,,,,,,,PE,,,,
,,GRC||PE,GRC,Greece,,,,,Peloponnesos,,,,,,,,PE,,,,
,,HUN||PE,HUN,Hungary,,,,,Pest,,,,,,,,PE,,,,
,,ITA||PE,ITA,Italy,,,,,Pescara,,,,,,,,PE,,,,
,,MYS||PE,MYS,Malaysia,,,,,Penang,,,,,,,,PE,,,,
,,NLD||PE,NLD,Netherlands,,,,,Prinsenbeek,,,,,,,,PE,,,,
,,RUS||PE,RUS,Russian Federation,,,,,Perm Region,,,,,,,,PE,,,,
,,THA||PE,THA,Thailand,,,,,Phang Nga,,,,,,,,PE,,,,
,,TWN||PE,TWN,Taiwan,,,,,Peng-hu,,,,,,,,PE,,,,
,,NLD||PF,NLD,Netherlands,,,,,Purmerend,,,,,,,,PF,,,,
,,HRV||PG,HRV,Croatia,,,,,Primorsko-goranska,,,,,,,,PG,,,,
,,ITA||PG,ITA,Italy,,,,,Perugia,,,,,,,,PG,,,,
,,MYS||PG,MYS,Malaysia,,,,,Pulau Penang,,,,,,,,PG,,,,
,,NLD||PG,NLD,Netherlands,,,,,Putte,,,,,,,,PG,,,,
,,THA||PG,THA,Thailand,,,,,Phattalung,,,,,,,,PG,,,,
,,KHM||PH,KHM,Cambodia,,,,,Phnom Penh City,,,,,,,,PH,,,,
,,MYS||PH,MYS,Malaysia,,,,,Pahang,,,,,,,,PH,,,,
,,NLD||PH,NLD,Netherlands,,,,,Putten,,,,,,,,PH,,,,
,,ROU||PH,ROU,Romania,,,,,Prahova,,,,,,,,PH,,,,
,,THA||PH,THA,Thailand,,,,,Phetchabun,,,,,,,,PH,,,,
,,BRA||PI,BRA,Brazil,,,,,Piaui,,,,,,,,PI,,,,
,,ECU||PI,ECU,Ecuador,,,,,Pichincha,,,,,,,,PI,,,,
,,FRA||PI,FRA,France,,,,,Picardie,,,,,,,,PI,,,,
,,ITA||PI,ITA,Italy,,,,,Pisa,,,,,,,,PI,,,,
,,NLD||PI,NLD,Netherlands,,,,,Huijbergen,,,,,,,,PI,,,,
,,PER||PI,PER,Peru,,,,,Piura,,,,,,,,PI,,,,
,,THA||PI,THA,Thailand,,,,,Phichit,,,,,,,,PI,,,,
,,TWN||PI,TWN,Taiwan,,,,,Ping-tung,,,,,,,,PI,,,,
,,KOR||PJ,KOR,"Korea, Republic of",,,,,Pusan-jikhalsi (Special City),,,,,,,,PJ,,,,
,,NLD||PJ,NLD,Netherlands,,,,,Huissen,,,,,,,,PJ,,,,
,,PAK||PJ,PAK,Pakistan,,,,,Punjab,,,,,,,,PJ,,,,
,,NLD||PK,NLD,Netherlands,,,,,Huizen,,,,,,,,PK,,,,
,,THA||PK,THA,Thailand,,,,,Phuket,,,,,,,,PK,,,,
,,BGR||PL,BGR,Bulgaria,,,,,Pleven,,,,,,,,PL,,,,
,,CZE||PL,CZE,Czech Republic,,,,,Plzensky kraj,,,,,,,,PL,,,,
,,FRA||PL,FRA,France,,,,,Polynesie Francaise,,,,,,,,PL,,,,
,,MYS||PL,MYS,Malaysia,,,,,Perlis,,,,,,,,PL,,,,
,,NLD||PL,NLD,Netherlands,,,,,Hulst,,,,,,,,PL,,,,
,,ESP||PM,ESP,Spain,,,,,Balearic Islands,,,,,,,,PM,,,,
,,ITA||PM,ITA,Italy,,,,,Piemonte,,,,,,,,PM,,,,
,,NLD||PM,NLD,Netherlands,,,,,Hummelo En Keppel,,,,,,,,PM,,,,
,,PHL||PM,PHL,Philippines,,,,,Pampanga,,,,,,,,PM,,,,
,,ITA||PN,ITA,Italy,,,,,Pordenone,,,,,,,,PN,,,,
,,NLD||PN,NLD,Netherlands,,,,,Hunsel,,,,,,,,PN,,,,
,,PHL||PN,PHL,Philippines,,,,,Pangasinan,,,,,,,,PN,,,,
,,PRK||PN,PRK,"Korea, Democratic People's Rep",,,,,Pyongan-namdo,,,,,,,,PN,,,,
,,RUS||PN,RUS,Russian Federation,,,,,Penza Region,,,,,,,,PN,,,,
,,THA||PN,THA,Thailand,,,,,Pattani,,,,,,,,PN,,,,
,,BGR||PO,BGR,Bulgaria,,,,,Plovdiv,,,,,,,,PO,,,,
,,BOL||PO,BOL,Bolivia,,,,,Potosi,,,,,,,,PO,,,,
,,ESP||PO,ESP,Spain,,,,,Pontevedra,,,,,,,,PO,,,,
,,FRA||PO,FRA,France,,,,,Poitou-Charentes,,,,,,,,PO,,,,
,,GBR||PO,GBR,United Kingdom,,,,,Powys,,,,,,,,PO,,,,
,,ITA||PO,ITA,Italy,,,,,Prato,,,,,,,,PO,,,,
,,NLD||PO,NLD,Netherlands,,,,,Lingewaal,,,,,,,,PO,,,,
,,POL||PO,POL,Poland,,,,,Podlaskie,,,,,,,,PO,,,,
,,PRT||PO,PRT,Portugal,,,,,Portalegre,,,,,,,,PO,,,,
,,UKR||PO,UKR,Ukraine,,,,,Poltavska,,,,,,,,PO,,,,
,,VEN||PO,VEN,Venezuela,,,,,Portuguesa,,,,,,,,PO,,,,
,,NLD||PP,NLD,Netherlands,,,,,Lisse,,,,,,,,PP,,,,
,,THA||PP,THA,Thailand,,,,,Prachuap Khiri Khan,,,,,,,,PP,,,,
,,NLD||PQ,NLD,Netherlands,,,,,Lith,,,,,,,,PQ,,,,
,,BRA||PR,BRA,Brazil,,,,,Parana,,,,,,,,PR,,,,
,,CZE||PR,CZE,Czech Republic,,,,,Prague,,,,,,,,PR,,,,
,,ESP||PR,ESP,Spain,,,,,Principality of Asturias,,,,,,,,PR,,,,
,,FRA||PR,FRA,France,,,,,Provence-Alpes-CÃ´te dAzur,,,,,,,,PR,,,,
,,ITA||PR,ITA,Italy,,,,,Parma,,,,,,,,PR,,,,
,,MYS||PR,MYS,Malaysia,,,,,Perak,,,,,,,,PR,,,,
,,NLD||PR,NLD,Netherlands,,,,,Littenseradiel,,,,,,,,PR,,,,
,,PRI||PR,PRI,Puerto Rico,,,,,Puerto Rico,,,,,,,,PR,,,,
,,PRT||PR,PRT,Portugal,,,,,Porto,,,,,,,,PR,,,,
,,RUS||PR,RUS,Russian Federation,,,,,Maritime Territory,,,,,,,,PR,,,,
,,THA||PR,THA,Thailand,,,,,Phrae,,,,,,,,PR,,,,
,,USA||PR,USA,United States,,,,,Puerto Rico,,,,,,,,PR,,,,
,,FRA||PS,FRA,France,,,,,Pas de Calais,,,,,,,,PS,,,,
,,ITA||PS,ITA,Italy,,,,,Pesaro,,,,,,,,PS,,,,
,,NLD||PS,NLD,Netherlands,,,,,Lochem,,,,,,,,PS,,,,
,,PRK||PS,PRK,"Korea, Democratic People's Rep",,,,,Pyongyang-si (Special City),,,,,,,,PS,,,,
,,THA||PS,THA,Thailand,,,,,Phitsanulok,,,,,,,,PS,,,,
,,FRA||PT,FRA,France,,,,,Pyrenees Orientales,,,,,,,,PT,,,,
,,ITA||PT,ITA,Italy,,,,,Pistoia,,,,,,,,PT,,,,
,,MYS||PT,MYS,Malaysia,,,,,Putrajaya,,,,,,,,PT,,,,
,,NLD||PT,NLD,Netherlands,,,,,Loenen,,,,,,,,PT,,,,
,,THA||PT,THA,Thailand,,,,,Pathum Thani,,,,,,,,PT,,,,
,,CRI||PU,CRI,Costa Rica,,,,,Puntarenas,,,,,,,,PU,,,,
,,FRA||PU,FRA,France,,,,,Puy de Dome,,,,,,,,PU,,,,
,,ITA||PU,ITA,Italy,,,,,Puglia,,,,,,,,PU,,,,
,,KOR||PU,KOR,"Korea, Republic of",,,,,Pusan,,,,,,,,PU,,,,
,,MEX||PU,MEX,Mexico,,,,,Puebla,,,,,,,,PU,,,,
,,MYS||PU,MYS,Malaysia,,,,,Pulau Pinang,,,,,,,,PU,,,,
,,NLD||PU,NLD,Netherlands,,,,,Loon Op Zand,,,,,,,,PU,,,,
,,PER||PU,PER,Peru,,,,,Puno,,,,,,,,PU,,,,
,,ESP||PV,ESP,Spain,,,,,Basque Country,,,,,,,,PV,,,,
,,ITA||PV,ITA,Italy,,,,,Pavia,,,,,,,,PV,,,,
,,NLD||PV,NLD,Netherlands,,,,,Loosdrecht,,,,,,,,PV,,,,
,,POL||PV,POL,Poland,,,,,Pomeranian Voivodeship,,,,,,,,PV,,,,
,,SVK||PV,SVK,Slovakia,,,,,Presov region,,,,,,,,PV,,,,
,,NLD||PW,NLD,Netherlands,,,,,Lopik,,,,,,,,PW,,,,
,,NLD||PX,NLD,Netherlands,,,,,Loppersum,,,,,,,,PX,,,,
,,FRA||PY,FRA,France,,,,,Pays de la Loire,,,,,,,,PY,,,,
,,IND||PY,IND,India,,,,,Pondicherry (UT),,,,,,,,PY,,,,
,,NLD||PY,NLD,Netherlands,,,,,Losser,,,,,,,,PY,,,,
,,THA||PY,THA,Thailand,,,,,Pattaya,,,,,,,,PY,,,,
,,VNM||PY,VNM,Viet Nam,,,,,Phu Yen,,,,,,,,PY,,,,
,,ITA||PZ,ITA,Italy,,,,,Potenza,,,,,,,,PZ,,,,
,,NLD||PZ,NLD,Netherlands,,,,,Luyksgestel,,,,,,,,PZ,,,,
,,NLD||QA,NLD,Netherlands,,,,,Middelharnis,,,,,,,,QA,,,,
,,QAT||QA,QAT,Qatar,,,,,Qatar,,,,,,,,QA,,,,
,,NLD||QB,NLD,Netherlands,,,,,Middenschouwen,,,,,,,,QB,,,,
,,VNM||QB,VNM,Viet Nam,,,,,Quang Binh,,,,,,,,QB,,,,
,,CAN||QC,CAN,Canada,,,,,Quebec,,,,,,,,QC,,,,
,,NLD||QC,NLD,Netherlands,,,,,Mierlo,,,,,,,,QC,,,,
,,NLD||QD,NLD,Netherlands,,,,,Mill En Sint Hubert,,,,,,,,QD,,,,
,,NLD||QE,NLD,Netherlands,,,,,Millingen Aan De Rijn,,,,,,,,QE,,,,
,,NLD||QF,NLD,Netherlands,,,,,Moergestel,,,,,,,,QF,,,,
,,NLD||QG,NLD,Netherlands,,,,,Monster,,,,,,,,QG,,,,
,,VNM||QG,VNM,Viet Nam,,,,,Quang Ngai,,,,,,,,QG,,,,
,,NLD||QH,NLD,Netherlands,,,,,Montfoort,,,,,,,,QH,,,,
,,CHN||QI,CHN,China,,,,,Qinghai,,,,,,,,QI,,,,
,,NLD||QI,NLD,Netherlands,,,,,Mook En Middelaar,,,,,,,,QI,,,,
,,PHL||QI,PHL,Philippines,,,,,Quirino,,,,,,,,QI,,,,
,,VNM||QI,VNM,Viet Nam,,,,,Quang Ninh,,,,,,,,QI,,,,
,,NLD||QJ,NLD,Netherlands,,,,,Moordrecht,,,,,,,,QJ,,,,
,,NLD||QK,NLD,Netherlands,,,,,Muiden,,,,,,,,QK,,,,
,,AUS||QL,AUS,Australia,,,,,Queensland,,,,,,,,QL,,,,
,,NLD||QL,NLD,Netherlands,,,,,Norg,,,,,,,,QL,,,,
,,NLD||QM,NLD,Netherlands,,,,,Bergambacht,,,,,,,,QM,,,,
,,NLD||QN,NLD,Netherlands,,,,,"Nuenen,Gerwen En Nederwe",,,,,,,,QN,,,,
,,VNM||QN,VNM,Viet Nam,,,,,Quang Nam-Da Nang,,,,,,,,QN,,,,
,,MEX||QO,MEX,Mexico,,,,,Quintana Roo,,,,,,,,QO,,,,
,,NLD||QO,NLD,Netherlands,,,,,Nunspeet,,,,,,,,QO,,,,
,,NLD||QP,NLD,Netherlands,,,,,Nuth,,,,,,,,QP,,,,
,,NLD||QQ,NLD,Netherlands,,,,,Ouder-Amstel,,,,,,,,QQ,,,,
,,MEX||QR,MEX,Mexico,,,,,Queretaro,,,,,,,,QR,,,,
,,NLD||QR,NLD,Netherlands,,,,,Ouderkerk,,,,,,,,QR,,,,
,,UZB||QR,UZB,Uzbekistan,,,,,Karakalpakstan autonomous rep,,,,,,,,QR,,,,
,,NLD||QS,NLD,Netherlands,,,,,Oudewater,,,,,,,,QS,,,,
,,NLD||QT,NLD,Netherlands,,,,,Overijssel,,,,,,,,QT,,,,
,,VNM||QT,VNM,Viet Nam,,,,,Quang Tri,,,,,,,,QT,,,,
,,ECU||QU,ECU,Ecuador,,,,,QUITO,,,,,,,,QU,,,,
,,NLD||QU,NLD,Netherlands,,,,,Rossum,,,,,,,,QU,,,,
,,PHL||QU,PHL,Philippines,,,,,Quezon,,,,,,,,QU,,,,
,,NLD||QV,NLD,Netherlands,,,,,Rotterdam,,,,,,,,QV,,,,
,,NLD||QW,NLD,Netherlands,,,,,Rozenburg,,,,,,,,QW,,,,
,,NLD||QX,NLD,Netherlands,,,,,Rozendaal,,,,,,,,QX,,,,
,,NLD||QY,NLD,Netherlands,,,,,Rucphen,,,,,,,,QY,,,,
,,NLD||QZ,NLD,Netherlands,,,,,Ruinen,,,,,,,,QZ,,,,
,,BGD||RA,BGD,Bangladesh,,,,,Rajshahi,,,,,,,,RA,,,,
,,FRA||RA,FRA,France,,,,,RhÃ´ne-Alpes,,,,,,,,RA,,,,
,,ITA||RA,ITA,Italy,,,,,Ravenna,,,,,,,,RA,,,,
,,NLD||RA,NLD,Netherlands,,,,,Raalte,,,,,,,,RA,,,,
,,THA||RA,THA,Thailand,,,,,Ranong,,,,,,,,RA,,,,
,,NLD||RB,NLD,Netherlands,,,,,Raamsdonk,,,,,,,,RB,,,,
,,ITA||RC,ITA,Italy,,,,,Reggio Di Calabria,,,,,,,,RC,,,,
,,NLD||RC,NLD,Netherlands,,,,,Ravenstein,,,,,,,,RC,,,,
,,NLD||RD,NLD,Netherlands,,,,,Reeuwijk,,,,,,,,RD,,,,
,,FRA||RE,FRA,France,,,,,Reunion,,,,,,,,RE,,,,
,,GBR||RE,GBR,United Kingdom,,,,,Renfrewshire,,,,,,,,RE,,,,
,,ITA||RE,ITA,Italy,,,,,Reggio Nell Emilia,,,,,,,,RE,,,,
,,LVA||RE,LVA,Latvia,,,,,Rezeknes,,,,,,,,RE,,,,
,,NLD||RE,NLD,Netherlands,,,,,Reiderland,,,,,,,,RE,,,,
,,NLD||RF,NLD,Netherlands,,,,,Reimerswaal,,,,,,,,RF,,,,
,,ITA||RG,ITA,Italy,,,,,Ragusa,,,,,,,,RG,,,,
,,NLD||RG,NLD,Netherlands,,,,,Renkum,,,,,,,,RG,,,,
,,FRA||RH,FRA,France,,,,,Rhone,,,,,,,,RH,,,,
,,NLD||RH,NLD,Netherlands,,,,,Renswoude,,,,,,,,RH,,,,
,,COL||RI,COL,Colombia,,,,,Risaralda,,,,,,,,RI,,,,
,,IDN||RI,IDN,Indonesia,,,,,Riau,,,,,,,,RI,,,,
,,ITA||RI,ITA,Italy,,,,,Rieti,,,,,,,,RI,,,,
,,LVA||RI,LVA,Latvia,,,,,Rigas,,,,,,,,RI,,,,
,,NGA||RI,NGA,Nigeria,,,,,Rivers,,,,,,,,RI,,,,
,,NLD||RI,NLD,Netherlands,,,,,Reusel,,,,,,,,RI,,,,
,,PHL||RI,PHL,Philippines,,,,,Rizal,,,,,,,,RI,,,,
,,TUR||RI,TUR,Turkey,,,,,Rize,,,,,,,,RI,,,,
,,UKR||RI,UKR,Ukraine,,,,,Rivnenska,,,,,,,,RI,,,,
,,USA||RI,USA,United States,,,,,Rhode Island,,,,,,,,RI,,,,
,,BRA||RJ,BRA,Brazil,,,,,Rio de Janeiro,,,,,,,,RJ,,,,
,,IND||RJ,IND,India,,,,,Rajasthan,,,,,,,,RJ,,,,
,,NLD||RJ,NLD,Netherlands,,,,,Rheden,,,,,,,,RJ,,,,
,,ARE||RK,ARE,United Arab Emirates,,,,,Ras al Khaymah,,,,,,,,RK,,,,
,,ISL||RK,ISL,Iceland,,,,,ReykjavÃ­k,,,,,,,,RK,,,,
,,NLD||RK,NLD,Netherlands,,,,,Rhenen,,,,,,,,RK,,,,
,,DEU||RL,DEU,Germany,,,,,Rhinland-Palatinate,,,,,,,,RL,,,,
,,NLD||RL,NLD,Netherlands,,,,,Ridderkerk,,,,,,,,RL,,,,
,,CHL||RM,CHL,Chile,,,,,Region Metropolitana,,,,,,,,RM,,,,
,,ITA||RM,ITA,Italy,,,,,Roma,,,,,,,,RM,,,,
,,NLD||RM,NLD,Netherlands,,,,,Riethoven,,,,,,,,RM,,,,
,,ARG||RN,ARG,Argentina,,,,,Rio Negro,,,,,,,,RN,,,,
,,BRA||RN,BRA,Brazil,,,,,Rio Grande Do Norte,,,,,,,,RN,,,,
,,ITA||RN,ITA,Italy,,,,,Rimini,,,,,,,,RN,,,,
,,NLD||RN,NLD,Netherlands,,,,,Rijnsburg,,,,,,,,RN,,,,
,,BRA||RO,BRA,Brazil,,,,,Rondonia,,,,,,,,RO,,,,
,,IRL||RO,IRL,Ireland,,,,,Roscommon,,,,,,,,RO,,,,
,,ITA||RO,ITA,Italy,,,,,Rovigo,,,,,,,,RO,,,,
,,NLD||RO,NLD,Netherlands,,,,,Rijnwaarden,,,,,,,,RO,,,,
,,NOR||RO,NOR,Norway,,,,,Rogaland,,,,,,,,RO,,,,
,,PHL||RO,PHL,Philippines,,,,,Romblon,,,,,,,,RO,,,,
,,RUS||RO,RUS,Russian Federation,,,,,Rostov Region,,,,,,,,RO,,,,
,,THA||RO,THA,Thailand,,,,,Roi Et,,,,,,,,RO,,,,
,,DEU||RP,DEU,Germany,,,,,Rheinland Pfalz,,,,,,,,RP,,,,
,,NLD||RP,NLD,Netherlands,,,,,Rijnwoude,,,,,,,,RP,,,,
,,NLD||RQ,NLD,Netherlands,,,,,Rijsbergen,,,,,,,,RQ,,,,
