BU_DESC__c,BU_ID__c,Code_Indexing__c,COUNTRY_ID__c,COUNTRY__c,GM_DESC__c,GM_ID__c,MARKET_DESC__c,MARKET_ID__c,Name,Product_Id__c,Product_Name__c,RHMS_Vertical_Id__c,SBU1_DESC__c,SBU1_ID__c,SBU2_DESC__c,SBU2_ID__c,STATE_ID__c,SUBVERTICAL_DESC__c,SUBVERTICAL_ID__c,VERTICAL_DESC__c,VERTICAL_ID__c
,,PAK||AK,PAK,Pakistan,,,,,Azad Kashmir(Pak administered),,,,,,,,AK,,,,
,,PHL||AK,PHL,Philippines,,,,,Aklan,,,,,,,,AK,,,,
,,TUR||AK,TUR,Turkey,,,,,Aksaray,,,,,,,,AK,,,,
,,USA||AK,USA,United States,,,,,Alaska,,,,,,,,AK,,,,
,,BRA||AL,BRA,Brazil,,,,,Alagoas,,,,,,,,AL,,,,
,,CRI||AL,CRI,Costa Rica,,,,,Alajuela,,,,,,,,AL,,,,
,,DZA||AL,DZA,Algeria,,,,,Alger,,,,,,,,AL,,,,
,,EGY||AL,EGY,Egypt,,,,,Alexandria,,,,,,,,AL,,,,
,,ESP||AL,ESP,Spain,,,,,Alava,,,,,,,,AL,,,,
,,FIN||AL,FIN,Finland,,,,,Ã…land,,,,,,,,AL,,,,
,,FRA||AL,FRA,France,,,,,Allier,,,,,,,,AL,,,,
,,ITA||AL,ITA,Italy,,,,,Alessandria,,,,,,,,AL,,,,
,,KAZ||AL,KAZ,Kazakhstan,,,,,Almaty,,,,,,,,AL,,,,
,,NLD||AL,NLD,Netherlands,,,,,Aalsmeer,,,,,,,,AL,,,,
,,PHL||AL,PHL,Philippines,,,,,Albay,,,,,,,,AL,,,,
,,RUS||AL,RUS,Russian Federation,,,,,Altai Territory,,,,,,,,AL,,,,
,,USA||AL,USA,United States,,,,,Alabama,,,,,,,,AL,,,,
,,BRA||AM,BRA,Brazil,,,,,Amazonas,,,,,,,,AM,,,,
,,COL||AM,COL,Colombia,,,,,Amazonas,,,,,,,,AM,,,,
,,ESP||AM,ESP,Spain,,,,,Almeria,,,,,,,,AM,,,,
,,GBR||AM,GBR,United Kingdom,,,,,Armagh,,,,,,,,AM,,,,
,,JOR||AM,JOR,Jordan,,,,,Amman,,,,,,,,AM,,,,
,,KAZ||AM,KAZ,Kazakhstan,,,,,Astana,,,,,,,,AM,,,,
,,NLD||AM,NLD,Netherlands,,,,,Amsterdam,,,,,,,,AM,,,,
,,RUS||AM,RUS,Russian Federation,,,,,Amur Region,,,,,,,,AM,,,,
,,SAU||AM,SAU,Saudi Arabia,,,,,Al Madinah,,,,,,,,AM,,,,
,,TUR||AM,TUR,Turkey,,,,,Amasya,,,,,,,,AM,,,,
,,ATG||AN,ATG,Antigua and Barbuda,,,,,Antigua,,,,,,,,AN,,,,
,,BEL||AN,BEL,Belgium,,,,,Antwerpen,,,,,,,,AN,,,,
,,CHL||AN,CHL,Chile,,,,,Antofagasta,,,,,,,,AN,,,,
,,CHN||AN,CHN,China,,,,,Anhui,,,,,,,,AN,,,,
,,COL||AN,COL,Colombia,,,,,Antioquia,,,,,,,,AN,,,,
,,DZA||AN,DZA,Algeria,,,,,Annaba,,,,,,,,AN,,,,
,,ESP||AN,ESP,Spain,,,,,Andalusia,,,,,,,,AN,,,,
,,FRA||AN,FRA,France,,,,,Auvergne,,,,,,,,AN,,,,
,,GBR||AN,GBR,United Kingdom,,,,,Angus,,,,,,,,AN,,,,
,,IND||AN,IND,India,,,,,Andaman and Nicobar Islands,,,,,,,,AN,,,,
,,IRL||AN,IRL,Ireland,,,,,Antrim,,,,,,,,AN,,,,
,,ITA||AN,ITA,Italy,,,,,Ancona,,,,,,,,AN,,,,
,,NGA||AN,NGA,Nigeria,,,,,Anambra,,,,,,,,AN,,,,
,,NLD||AN,NLD,Netherlands,,,,,Alkemade,,,,,,,,AN,,,,
,,PER||AN,PER,Peru,,,,,Ancash,,,,,,,,AN,,,,
,,PHL||AN,PHL,Philippines,,,,,Antique,,,,,,,,AN,,,,
,,SWE||AN,SWE,Sweden,,,,,Angermanland,,,,,,,,AN,,,,
,,TUR||AN,TUR,Turkey,,,,,Ankara,,,,,,,,AN,,,,
,,UZB||AN,UZB,Uzbekistan,,,,,Andizhan,,,,,,,,AN,,,,
,,VEN||AN,VEN,Venezuela,,,,,Anzoategui,,,,,,,,AN,,,,
,,CHN||AO,CHN,China,,,,,Aomen,,,,,,,,AO,,,,
,,ITA||AO,ITA,Italy,,,,,Aosta,,,,,,,,AO,,,,
,,JPN||AO,JPN,Japan,,,,,Aomori-Ken,,,,,,,,AO,,,,
,,NLD||AO,NLD,Netherlands,,,,,Almelo,,,,,,,,AO,,,,
,,BRA||AP,BRA,Brazil,,,,,Amapa,,,,,,,,AP,,,,
,,CHL||AP,CHL,Chile,,,,,Arica and Parinacota,,,,,,,,AP,,,,
,,DZA||AP,DZA,Algeria,,,,,Algiers Province,,,,,,,,AP,,,,
